question,option_1,option_2,option_3,option_4,source,answer,type,num_voters
"Odatda aspirinni turli koʻrinishdagi ogʻriqlarda: bosh ogʻrigʻi, tish ogʻrigʻi, xala boʻlganda ichishga odatlanganmiz. (Gazetadan.)

xala — bu...","Sanchiq, sanchib ogʻrish",Koʻz ogʻrigʻi,Yengil isitma,Tomoq qichishi,https://t.me/oriftolib/3628,1,meaning_in_context,"[1025, 263, 1081]"
"Oftob yagʻrindan urib turadi. (Gʻ. Gʻulom, “Shum bola”)

yagʻrin — bu...",Boshning ust qismi,Bosh va boʻyin orasi,"Kurak usti, yelkalar oraligʻi","Peshona, manglay",https://t.me/oriftolib/3078,3,meaning_in_context,"[265, 464, 715, 272]"
"Ogʻir lashkar elga yaqin keldimi, 
Oʻzima bir podsho xasm boʻldimi? (“Yusuf va Ahmad”.)

xasm — bu...","Doʻst, qadrdon","Yoʻldosh, hamroh","Dushman, raqib","Qarindosh, oila a'zosi",https://t.me/oriftolib/2583,3,meaning_in_context,"[411, 977, 990]"
"Oʻgʻli yoki qizi bosar-tusarini bilmay yuraveradi, chunki uning mushugini “pisht” deydigan mard anqoga shafe. (Sharof Boshbekov)

anqoga shafe — bu...",Topilmaydigan yoki juda kam uchraydigan,Gapga hadeganda tushunib yetolmaydigan,"Tanish-bilishga yon bosadigan, noxolis",Odamning koʻnglini olishni biladigan,https://t.me/oriftolib/4049,1,meaning_in_context,"[1162, 167, 121]"
"Oktyabrning 19-kuni. Kamoliddin hovlida sarpoychan yurgan edi.

sarpoychan — bu...","Yasangan, sarpo kiygan holatda","Yupqa, yupun kiyimda","Paypoqsiz, yalang oyoqda",Uyqudan endi turgan holda,https://t.me/oriftolib/2401,3,meaning_in_context,"[783, 1228, 1782]"
"Oq poshshoning avaxtasi ham koʻp, Sibiri ham keng. (M. Ismoiliy, “Fargʻona tong otguncha”).

avaxta — bu...",Qorovullar turadigan post,"Qamoqxona, turma",Paxtani qayta ishlash zavodi,"Dushmanlari, raqiblari",https://t.me/oriftolib/4070,2,meaning_in_context,"[252, 1333, 201]"
"Qalb qozoni qaynamas, qaynasa ham quyulmas. 

qalb — bu...","Nopok, qallob","Yurak, koʻngil","Nosoz, butun emas","Xafa, diltang",https://t.me/oriftolib/2535,1,meaning_in_context,"[772, 1306, 272]"
"Qalbim urishiga solasan quloq, Hech qachon saktalik sezmaysan biroq.

saktalik — bu...","Muhabbat, sevgi","Iztirob, ogʻriq",Kamchilik,"Qoʻrquv, ishonchsizlik",https://t.me/oriftolib/3805,1,meaning_in_context,"[328, 987, 515]"
"Qani, yur, xayrli ishni paysalga solib boʻlmaydi. (“Yoshlik”).

paysalga solmoq — bu...","Oʻlchamoq, baho bermoq","Kechiktirmoq, keyinga surmoq","Maʼlum qilmoq, birovga aytmoq","Uvol qilmoq, behudaga sarflamoq",https://t.me/oriftolib/2564,2,meaning_in_context,"[208, 1960, 96]"
"Qatorda noring boʻlsa, yuking yerda qolmaydi.

nor — bu...","Arava, yuk ortish moslamasi",Erkak tuya,Karvon yoʻlboshchisi,Tanish-bilish,https://t.me/oriftolib/3793,2,meaning_in_context,"[209, 1295, 171]"
"Qaydam, tarbiyaga bogʻliq. (H. Nazir, “Soʻnmas chaqmoqlar”.)

Qaydam — bu...",Qachondir,Unday emas,Bilmadim,Balkim,https://t.me/oriftolib/2577,3,meaning_in_context,"[311, 384, 1759]"
"Qazisan, qartasan,
Asl zotingga tortasan.

qarta — bu...",Oʻyin turi,Taom nomi,"Qari, qartaygan",Xarita,https://t.me/oriftolib/2362,2,meaning_in_context,"[259, 895, 1267]"
"Qizini yer-koʻkka ishonmagan... uning butun nuqsonlarini bir maziyat bilgan onasi – Lutfiniso erining davlatidan mumkin qadar koʻproq qoʻporib, shu kenja arzandasiga sarf qilish uchun urinar... edi. (Oybek, “Tanlangan asarlar”.)

maziyat — bu...","Ortiqlik, afzallik","Ayb, gunoh",Kutilmagan holat,"Xikmat, yaxshilik",https://t.me/oriftolib/3259,1,meaning_in_context,"[1037, 904, 513]"
"Qoʻynidan toʻkilsa – qoʻnjiga

qoʻnj — bu...",Choʻntak,Hamyon,Poyabzal qismi,Etak,https://t.me/oriftolib/2558,3,meaning_in_context,"[1226, 638, 1164]"
"Rafiqov Obid ketmonning sajiyasiga taajjublanadi. (A. Qodiriy, “Obid ketmon”).

sajiya — bu...",Xarakter,Vajohat,Muloyimlik,Mardlik,https://t.me/oriftolib/3389,1,meaning_in_context,"[773, 751, 397]"
"Sayhonlikka tushganda ola hoʻkiz orqada qolaverdi va birdan toʻxtadi. (Sh. Xolmirzayev, “Ogʻir tosh koʻchsa”)

sayhonlik — bu...",Jarlik,Ekin paykali,Keng maydon,Daryo,https://t.me/oriftolib/3388,3,meaning_in_context,"[552, 375, 846]"
"Shaparak non. Shaparak yostiq.

Shaparak — bu...","Yupqa, puchak","Shapaloqdek, kichik","Teshigi, koʻzi bor","Toshday, qattiq",https://t.me/oriftolib/3092,1,meaning_in_context,"[1198, 460, 276]"
"Sher ila durroj

durroj — bu...",Duradgor,Vahshiy hayvon,Qush turi,Quyon,https://t.me/oriftolib/2185,3,meaning_in_context,"[511, 146, 974]"
"Shirinni bogʻladi togʻning toshiga,
Gʻajir ega boʻlar, dedi, loshiga. (“Shirin va Shakar”.)

gʻajir — bu...","Dushman, yogʻiy","Sher, qoplon",Yirtqich qush,Kiyik,https://t.me/oriftolib/2588,3,meaning_in_context,"[652, 642, 1051]"
"Shoʻring qurgʻur ukam mardikorlikdan ramaqijon boʻlib qaytib keldi. (M. Muhammadjonov, “Turmush urinishlari”)

ramaqijon — bu...",Bir oyogʻi ishlamaydigan,Oʻta ozib ketgan,Duduqlanib gapiradigan,Charchagan,https://t.me/oriftolib/3428,2,meaning_in_context,"[449, 1346, 156]"
"Shukur Xolmirzayevning “Zov ostida adashuv” nomli hikoyasi bor.

Zov — bu...",Gʻor,Daradagi chuqurlik,Choʻqqidagi qoya,Choʻl,https://t.me/oriftolib/2366,2,meaning_in_context,"[583, 1156, 584]"
"Shunday yomgʻirda azza-bazza uzoqdan keldi.

Azza-bazza — bu...",Zoʻrga,Ataylab,Shalabbo boʻlib,Xursandchilik bilan,https://t.me/oriftolib/2264,2,meaning_in_context,"[1341, 672, 322]"
"Soraxon nihoyat kunchi xotin edi. (A. Qahhor, “Sarob”).

kunchi — bu...",Kunduzi koʻp uxlaydigan,"Toqatsiz, sabri yoʻq","Qizgʻanish hissi kuchli, rashkchi","Soqchi, qo‘riqchi",https://t.me/oriftolib/2660,3,meaning_in_context,"[347, 697, 1396]"
"Tayoqsizga tovushqon uchrar.

tovushqon — bu...",Kiyik,Mushtumzoʻr,Quyon,Boʻri,https://t.me/oriftolib/2632,3,meaning_in_context,"[248, 1076, 951]"
"U etigini qo‘lantayoq kiygan edi.

Qo‘lantayoq — bu...",Tayoq bilan,Shosha-pisha,Paytavasiz,Qo‘njini ezib,https://t.me/oriftolib/1263,3,meaning_in_context,"[157, 199, 257, 174]"
"U juda odamovi.

odamovi — bu...",El-xalqqa aralashmaydigan,Odamning koʻnglini olishni biladigan,"Ovga ishqiboz, ovga qiziqadigan","Har gapga teskari gapiraveradigan, tajang",https://t.me/oriftolib/2622,1,meaning_in_context,"[2568, 298, 66]"
"U qorni shiddatli elagan toʻniq koʻkka qaraydi, xoʻrsinadi. (Oybek, “Tanlangan asarlar”.)

toʻniq — bu...","Tiniq, musaffo",Bulutli,Oppoq,Quyoshli,https://t.me/oriftolib/3774,2,meaning_in_context,"[749, 1064, 321]"
"U rahbarning munosabati haqida oʻsmoqchilab soʻradi.

Oʻsmoqchilamoq — bu...",Nazar-pisand qilmaslik,Boʻyini biroz choʻzmoq,Surishtirib aniqlashga urinmoq,Muloyimlik bilan,https://t.me/oriftolib/3856,3,meaning_in_context,"[297, 323, 1374]"
"Uch-toʻrt kundan buyon Sheralining yonida hemiri yoʻq. (S. Karomatov, “Oltin qum”.)

hemiri — bu...",Xamiri yupqa non,Pul,Ulfat va oshnalar,Yeyishga noni,https://t.me/oriftolib/3576,2,meaning_in_context,"[165, 1746, 134]"
"Unikal qoʻlyozma. Unikal asar. Unikal tajriba.

unikal — bu...","Nodir, noyob","Eski, qadimiy","Tushunarsiz, qiyin","Xira, nursizlangan",https://t.me/oriftolib/4038,1,meaning_in_context,"[822, 247, 135]"
"Uning sochlari jingila-jingila, yuz va koʻzlari doʻnduq, ustida yashil baxmaldan burma qilib tikilgan chiroyli delvagay kiyimi bor edi. (A. Qodiriy, “Jinlar bazmi”.)

delvagay kiyim — bu...",Keng va katta ust kiyim,Qalin va tor ust kiyim,Yengil va yupqa ust kiyim,Telbalarnikiga oʻxshash,https://t.me/oriftolib/4086,3,meaning_in_context,"[829, 325, 422]"
"Uyida chaksa uni yoʻq, 
Tom boshida qoʻsh tandir. 
 
chaksa — bu...",Qora un,Roʻzgʻor buyumi,Oʻlchov birligi,Sifatli,https://t.me/oriftolib/2568,3,meaning_in_context,"[587, 449, 1381]"
"Xoʻmraygan yalangtoʻsh chollar, burnining suvi oqib yigʻlamsiragan bola-baqralar... (X. Sultonov, “Bir oqshom ertagi”)

yalangtoʻsh — bu...",Sochi qirilgan,"Gʻazabli, qahrli",Koʻksi ochiq,"Manman, kibrli",https://t.me/oriftolib/3434,3,meaning_in_context,"[445, 385, 1084]"
"Yaydoq otni yetaklab olgan baland boʻyli xushmoʻylov yigit anhor tomonga oʻtib ketdi. (S. Ahmad, “Qadrdon dalalar”)

yaydoq ot — bu...","Tezchopar, shiddatli","Sekin chopadigan, horgʻin",Egar-jabduqsiz,"Hali minilmagan, yosh",https://t.me/oriftolib/2705,3,meaning_in_context,"[303, 308, 1075]"
"Yetti desam, oʻtirik boʻlar, lekin olti pushtimni yaxshi bilaman. (N. Norqobilov, “Bekatdagi oq uycha”.)

oʻtirik — bu...",Yolgʻon,Maqtanish,Yerga urish,Manmanlik,https://t.me/oriftolib/3942,1,meaning_in_context,"[1033, 669, 76]"
"Yigitlar ichida menman oʻdagʻa. (“Ravshan”.)

oʻdagʻa — bu...","Novcha, baland boʻyli","Kuchli, baquvvat","Boshliq, ishboshi","Xafa, diltang",https://t.me/oriftolib/3658,3,meaning_in_context,"[1302, 2513, 2000]"
"Yuzi oydek shuʼla solar, 
Husni falakdan boj olar. 
Yo Rab, yorim qachon kelar, 
Borsam daryo kanorindan?

kanor — bu...","Kanal, suv yoʻli","Qirgʻoq, chet","Oxir, tugagan joy",Choʻqqidagi qoya,https://t.me/oriftolib/2494,2,meaning_in_context,"[425, 1296, 353]"
"Zero buni barchamiz bilishimiz kerak.

zero — bu...","Aytgancha, darvoqe","Chunki, negaki","Shunga qaramay, shunday boʻlsa-da","Biroq, ammo",https://t.me/oriftolib/2782,2,meaning_in_context,"[503, 765, 885]"
Qay biri to‘g‘ri?,-dan qatʼiy nazar,-dan qatiy nazar,-dan qati nazar,-dan qatʼi nazar,https://t.me/tahrirchi_uz/134,4,correct_word,"[808, 66, 49, 391]"
Qay biri to‘g‘ri?,Bola huquqlari toʻgʻrisidagi konvensiya,“Bola huquqlari” toʻgʻrisidagi konvensiya,“Bola huquqlari toʻgʻrisida”gi Konvensiya,“bola huquqlari toʻgʻrisida”gi Konvensiya,https://t.me/oriftolib/3109,1,correct_word,"[340, 566, 1020]"
Qay biri to‘g‘ri?,“Gurs” etib yiqildi.,Gurs etib yiqildi.,“Gurs” yetib yiqildi.,Gurs yetib yiqildi.,https://t.me/oriftolib/2627,2,correct_word,"[918, 2128]"
Qay biri to‘g‘ri?,“Hozir uvullavoraman!” dedi boʻri.,“Hozir uvillavoraman!” dedi boʻri.,“Hozir uvulavoraman!” dedi boʻri.,“Hozir uvilavoraman!” dedi boʻri.,https://t.me/oriftolib/2619,1,correct_word,"[7636, 8014]"
Qay biri to‘g‘ri?,“Iliada” dostoni,“Illiada” dostoni,“Iliyada” dostoni,“Illiyada” dostoni,https://t.me/oriftolib/2774,1,correct_word,"[909, 1254]"
Qay biri to‘g‘ri?,“Labzak” mahallasi,Labzak mahallasi,“labzak” mahallasi,labzak mahallasi,https://t.me/oriftolib/3168,2,correct_word,"[1015, 1201]"
Qay biri to‘g‘ri?,“Loy jangi” qayerda boʻlgan edi?,Loy jangi qayerda boʻlgan edi?,“Loy” jangi qayerda boʻlgan edi?,“LOY” jangi qayerda boʻlgan edi?,https://t.me/oriftolib/3030,2,correct_word,"[847, 497, 235]"
Qay biri to‘g‘ri?,“Oddiseya” dostoni,“Odiseya” dostoni,“Odisseya” dostoni,“Odesseya” dostoni,https://t.me/oriftolib/2775,3,correct_word,"[300, 595, 1326]"
Qay biri to‘g‘ri?,“Oʻzbekiston Milliy Ensiklopediyasi” nashriyoti,“Oʻzbekiston Milliy ensiklopediyasi” nashriyoti,“Oʻzbekiston milliy ensiklopediyasi” nashriyoti,Oʻzbekiston Milliy Ensiklopediyasi nashriyoti,https://t.me/oriftolib/2935,3,correct_word,"[435, 472, 634]"
Qay biri to‘g‘ri?,Oʻzbekiston ovozi koʻchasi,“Oʻzbekiston ovozi” koʻchasi,“Oʻzbekiston ovozi koʻchasi”,Oʻzbekiston “ovozi” koʻchasi,https://t.me/oriftolib/3215,1,correct_word,"[823, 1413]"
Qay biri to‘g‘ri?,Oʻzbekiston xalq yozuvchisi Shukur Xolmirzayevning asarlarini oʻqiganmisiz?,“Oʻzbekiston xalq yozuvchisi” Shukur Xolmirzayevning asarlarini oʻqiganmisiz?,“Oʻzbekiston Xalq yozuvchisi” Shukur Xolmirzayevning asarlarini oʻqiganmisiz?,Oʻzbekiston Xalq yozuvchisi Shukur Xolmirzayevning asarlarini oʻqiganmisiz?,https://t.me/oriftolib/3032,1,correct_word,"[812, 445, 175]"
Qay biri to‘g‘ri?,Ozodlik haykali Ozodlik orolida joylashgan.,“Ozodlik” haykali Ozodlik orolida joylashgan.,“Ozodlik” haykali “Ozodlik” orolida joylashgan.,Ozodlik haykali “Ozodlik” orolida joylashgan.,https://t.me/oriftolib/2932,2,correct_word,"[438, 811, 368]"
Qay biri to‘g‘ri?,Zamzam suvi,Zam-zam suvi,“Zam-zam” suvi,“Zamzam” suvi,https://t.me/oriftolib/3046,1,correct_word,"[573, 922, 381]"
Qay biri to‘g‘ri?,5-sinf uchun “Ona tili” darsligi,5-sinf uchun Ona tili darsligi,5-sinf uchun ona tili darsligi,5-sinf uchun Ona Tili darsligi,https://t.me/oriftolib/2549,1,correct_word,"[792, 793, 1031]"
Qay biri to‘g‘ri?,Abu Mansur Motrudiy,Abu Mansur Moturudiy,Abu Mansur Moturidiy,Abu Mansur Motridiy,https://t.me/oriftolib/3167,3,correct_word,"[514, 1047, 635]"
Qay biri to‘g‘ri?,Abu Nasr Forobiy,Abu Nasr Farobiy,Abu-Nasr Forobiy,Abu nasr Farobiy,https://t.me/oriftolib/2176,1,correct_word,"[680, 1421]"
Qay biri to‘g‘ri?,Offshor haqida eshitganmisiz?,Ofshor haqida eshitganmisiz?,Afshor haqida eshitganmisiz?,Affshor haqida eshitganmisiz?,https://t.me/oriftolib/2903,2,correct_word,"[422, 630, 709]"
Qay biri to‘g‘ri?,Aks sado,Aks-sado,Akssado,Akis sado,https://t.me/oriftolib/2492,1,correct_word,"[2126, 2006]"
Qay biri to‘g‘ri?,Albert Einstein,Albert Eynshteyn,Albert Aynshteyn,Albert Eynsteyn,https://t.me/xatoliklar/1728,2,correct_word,"[633, 9110]"
Qay biri to‘g‘ri?,Aliyev Valining “Ona tili” fanidan daftari,Aliyev Valining Ona tili fanidan daftari,Aliyev Valining ona tili fanidan daftari,Aliyev Valining Ona Tili fanidan daftari,https://t.me/oriftolib/2550,3,correct_word,"[774, 619, 1109]"
Qay biri to‘g‘ri?,Aminitsiya,Amnistiya,Amnitsiya,Aministiya,https://t.me/oriftolib/1197,2,correct_word,"[156, 344, 242]"
Qay biri to‘g‘ri?,Amur Temur,Amir Temur,Amur Temir,Amir Temir,https://t.me/xatoliklar/894,2,correct_word,"[1567, 17814, 355, 790]"
Qay biri to‘g‘ri?,Arxipilag,Arxipelag,Arhipilag,Arhipelag,https://t.me/oriftolib/2280,2,correct_word,"[479, 1262]"
Qay biri to‘g‘ri?,Osori atiqa,Osori-atiqa,Asori atiqa,Asori-atiqa,https://t.me/oriftolib/2335,1,correct_word,"[1431, 1208]"
Qay biri to‘g‘ri?,Assalomu alaykum!,Assalomu aleykum!,Assalomu alaikum!,Assolamu aleykum!,https://t.me/oriftolib/3041,1,correct_word,"[1533, 375]"
Qay biri to‘g‘ri?,avalo,avvalo,avallo,avvolo,https://t.me/tahrirchi_uz/90,2,correct_word,"[46, 1395, 70]"
Qay biri to‘g‘ri?,Aybdor,Ayibdor,Aypdor,Ayipdor,https://t.me/xatoliklar/781,1,correct_word,"[18720, 2219]"
Qay biri to‘g‘ri?,Bab baravar,Bab-baravar,Babbaravar,Bab-ba ravar,https://t.me/xatoliklar/744,2,correct_word,"[4137, 13074, 4619]"
Qay biri to‘g‘ri?,Bahri dili ochildi,Bahridili ochildi,Bagʻri dili ochildi,Bagʻridili ochildi,https://t.me/oriftolib/2055,2,correct_word,"[1057, 322, 323]"
Qay biri to‘g‘ri?,Bohona,Boxona,Bahona,Baxona,https://t.me/xatoliklar/1002,3,correct_word,"[1090, 693, 15445, 3335]"
Qay biri to‘g‘ri?,Bahorning so‘nggi tongi,Bahorning so‘ngi tonggi,Bahorning so‘ngi tongi,Bahorning so‘nggi tonggi,https://t.me/xatoliklar/2240,1,correct_word,"[3252, 1259, 2593]"
Qay biri to‘g‘ri?,Balki bunisi toʻgʻridir...,"Balki, bunisi toʻgʻridir...","Balki, bunisi, toʻgʻridir...","Balki, bunisi, toʻgʻridir,...",https://t.me/oriftolib/2458,2,correct_word,"[861, 1288]"
