question,option_1,option_2,option_3,option_4,source,num_voters
Қай бири тўғри?,Истанбул | Istanbul,Истамбул | Istambul,Иккови ҳам тўғри.,,https://t.me/oriftolib/1181,"[487, 213, 122]"
Қай бири тўғри?,Сунбула | Sunbula,Сумбула | Sumbula,Иккови ҳам тўғри.,,https://t.me/oriftolib/1186,"[383, 315, 324]"
Қай бири тўғри?,Атир | Atir,Атр | Atr,Иккови ҳам тўғри.,,https://t.me/oriftolib/1190,"[688, 108, 117]"
Қай бири тўғри?,Муножот | Munojot,Муножат | Munojat,Иккови ҳам тўғри.,,https://t.me/oriftolib/1194,"[324, 168, 139]"
Қай бири тўғри?,Амнитсия | Amnitsiya,Амнистия | Amnistiya,Амниция | Amnitsiya,,https://t.me/oriftolib/1197,"[156, 344, 242]"
Қай бири тўғри?,Айирбошлаш | Ayirboshlash,Айрибошлаш | Ayriboshlash,Иккови ҳам тўғри.,,https://t.me/oriftolib/1201,"[398, 254, 160]"
Қай бири тўғри?,Талатўп | Talatoʻp,Талотўп | Talotoʻp,Иккови ҳам тўғри.,,https://t.me/oriftolib/1207,"[379, 156, 150]"
Қай бири тўғри?,Алалоқибат | Alaloqibat,Алал-оқибат | Alal-oqibat,,,https://t.me/oriftolib/1212,"[379, 387]"
Қай бири тўғри?,Иммилламоқ | Immillamoq,Имилламоқ | Imillamoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1216,"[127, 490, 73]"
Қай бири тўғри?,Тўғриламоқ | Toʻgʻrilamoq,Тўғирламоқ | Toʻgʻirlamoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1221,"[436, 292, 201]"
Қай бири тўғри?,Қобилят | Qobilyat,Қобилият | Qobiliyat,,,https://t.me/oriftolib/1228,"[315, 611]"
Қай бири тўғри?,Шовилламоқ | Shovillamoq,Шовулламоқ | Shovullamoq,,,https://t.me/oriftolib/1236,"[237, 457]"
Қай бири тўғри?,Уринмоқ | Urinmoq,Урунмоқ | Urunmoq,,,https://t.me/oriftolib/1240,"[528, 218]"
Қай бири тўғри?,Дукакли экинлар | Dukakli ekinlar,Дуккакли экинлар | Dukkakli ekinlar,,,https://t.me/oriftolib/1244,"[136, 717]"
Қай бири тўғри?,Лаллаймоқ | Lallaymoq,Лалаймоқ | Lalaymoq,,,https://t.me/oriftolib/1252,"[662, 205]"
Қай бири тўғри?,Рио де Жанейро | Rio de Janeyro,Рио-де-Жанейро | Rio-de-Janeyro,,,https://t.me/oriftolib/1255,"[535, 396]"
Қай бири тўғри?,Боёқиш | Boyoqish,Бояқиш | Boyaqish,,,https://t.me/oriftolib/1257,"[168, 826]"
"У этигини қўлантаёқ кийган эди.

“Қўлантаёқ” бу – ...",Таёқ билан,Шоша-пиша,Пайтавасиз,Қўнжини эзиб,https://t.me/oriftolib/1263,"[157, 199, 257, 174]"
Қай бири тўғри?,Жунбишга келди | Junbishga keldi,Жунбушга келди | Junbushga keldi,Жумбушга келди | Jumbushga keldi,,https://t.me/oriftolib/1269,"[128, 498, 291]"
Қай бири тўғри?,Жўмард | Joʻmard,Жумард | Jumard,Иккови ҳам тўғри.,,https://t.me/oriftolib/1275,"[527, 125, 187]"
Қай бири тўғри?,Момақаймоқ | Momaqaymoq,Момоқаймоқ | Momoqaymoq,,,https://t.me/oriftolib/1282,"[501, 301]"
Момақаймоқ ўсимлигининг яна бири номи – ...,Қоқи ўт | Qoqi oʻt,Қоқиўт | Qoqioʻt,,,https://t.me/oriftolib/1284,"[431, 523]"
Қай бири тўғри?,Тинч океан | Tinch okean,Тинч океани | Tinch okeani,,,https://t.me/oriftolib/1286,"[460, 701]"
Қай бири тўғри?,Симтўр | Simtoʻr,Сим тўр | Sim toʻr,,,https://t.me/oriftolib/1292,"[604, 250]"
Қай бири тўғри?,Момоталоғи чиқди | Momotalogʻi chiqdi,Моматалоғи чиқди | Momatalogʻi chiqdi,Мўматалоғи чиқди | Moʻmatalogʻi chiqdi,,https://t.me/oriftolib/1297,"[286, 654, 75]"
Қай бири тўғри?,Лохас бўлди | Loxas boʻldi,Лоҳас бўлди | Lohas boʻldi,,,https://t.me/oriftolib/1301,"[274, 535]"
Қай бири тўғри?,Жонзот | Jonzot,Жонзод | Jonzod,,,https://t.me/oriftolib/1304,"[730, 264]"
Қай бири тўғри?,Пулли йўл | Pulli yoʻl,Пуллик йўл | Pullik yoʻl,,,https://t.me/oriftolib/1307,"[379, 607]"
Қай бири тўғри?,Гувулламоқ | Guvullamoq,Гувилламоқ | Guvillamoq,,,https://t.me/oriftolib/1309,"[537, 499]"
Қай бири тўғри?,Сазовар бўлди | Sazovar boʻldi,Сазовор бўлди | Sazovor boʻldi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1312,"[154, 759, 129]"
Қай бири тўғри?,Зуғум ўтказди | Zugʻum oʻtkazdi,Зўғим ўтказди | Zoʻgʻim oʻtkazdi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1314,"[795, 93, 83]"
Қай бири тўғри?,Хуш кайфият | Xush kayfiyat,Ҳуш кайфият | Hush kayfiyat,,,https://t.me/oriftolib/1317,"[705, 209]"
Қай бири тўғри?,Тамоқ | Tamoq,Томоқ | Tomoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1321,"[154, 710, 148]"
Қай бири тўғри?,Тожмаҳал | Tojmahal,Тож Маҳал | Toj Mahal,Тож маҳал | Toj mahal,,https://t.me/oriftolib/1323,"[617, 375, 43]"
Қай бири тўғри?,Қоронғилик | Qorongʻilik,Қоронғулик | Qorongʻulik,,,https://t.me/oriftolib/1327,"[256, 824]"
Қай бири тўғри?,Тановар | Tanovar,Тановор | Tanovor,Иккови ҳам тўғри.,,https://t.me/oriftolib/1329,"[342, 445, 183]"
Қай бири тўғри?,Китоб вароғи | Kitob varogʻi,Китоб варағи | Kitob varagʻi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1331,"[464, 502, 155]"
"Беҳилар ... пишди.

Жумлани тўғри тўлдиринг.",хил-хил | xil-xil,ҳил-ҳил | hil-hil,,,https://t.me/oriftolib/1335,"[300, 659]"
Алвон қандай ранг?,Қизил,Кўк,Сариқ,,https://t.me/oriftolib/1337,"[843, 91, 73]"
Қай бири тўғри?,Сай-ҳаракат | Say-harakat,Сайъ-ҳаракат | Sayʼ-harakat,Саъй-ҳаракат | Saʼy-harakat,Саъйи ҳаракат | Saʼyi harakat,https://t.me/oriftolib/1340,"[287, 114, 472, 224]"
Қай бири тўғри?,Саҳарлик | Saharlik,Сахарлик | Saxarlik,,,https://t.me/oriftolib/1342,"[766, 191]"
Қай бири тўғри?,Намоян бўлди | Namoyan boʻldi,Намоён бўлди | Namoyon boʻldi,Номоён бўлди | Nomoyon boʻldi,,https://t.me/oriftolib/1344,"[116, 748, 81]"
Қай бири тўғри?,Намоянда | Namoyanda,Намоёнда | Namoyonda,,,https://t.me/oriftolib/1345,"[354, 526]"
Қай бири тўғри?,Таровеҳ | Taroveh,Таровиҳ | Tarovih,,,https://t.me/oriftolib/1348,"[807, 238]"
Қай бири тўғри?,Бир неча дафъа | Bir necha dafʼa,Бир неча даъфа | Bir necha daʼfa,,,https://t.me/oriftolib/1352,"[628, 388]"
Қай бири тўғри?,Хризантема гули | Xrizantema guli,Хризонтема гули | Xrizontema guli,Хрезантема гули | Xrezantema guli,,https://t.me/oriftolib/1353,"[475, 266, 217]"
Қай бири тўғри?,Таиланд Қироллиги | Tailand Qirolligi,Тайланд Қироллиги | Tayland Qirolligi,,,https://t.me/oriftolib/1356,"[554, 353]"
Қай бири тўғри?,Халқоб сув | Xalqob suv,Ҳалқоб сув | Halqob suv,,,https://t.me/oriftolib/1358,"[486, 394]"
Қай бири тўғри?,Ҳўп бўлади | Hoʻp boʻladi,Хўп бўлади | Xoʻp boʻladi,,,https://t.me/oriftolib/1362,"[331, 737]"
Қай бири тўғри?,Ҳилхона | Hilxona,Хилхона | Xilxona,,,https://t.me/oriftolib/1364,"[472, 476]"
Қай бири тўғри?,Ичимлик сув | Ichimlik suv,Ичимлик суви | Ichimlik suvi,,,https://t.me/oriftolib/1367,"[240, 769]"
Қай бири тўғри?,Ҳою ҳавас | Hoyu havas,Ҳои ҳавас | Hoyi havas,Иккови ҳам тўғри.,,https://t.me/oriftolib/1369,"[532, 228, 247]"
Қай бири тўғри?,Тутқун | Tutqun,Тутқин | Tutqin,Иккови ҳам тўғри.,,https://t.me/oriftolib/1375,"[483, 337, 211]"
Қай бири тўғри?,Евросиё материги | Yevrosiyo materigi,Евроосиё материги | Yevroosiyo materigi,Евро-Осиё материги | Yevro-Osiyo materigi,,https://t.me/oriftolib/1378,"[393, 306, 283]"
Қай бири тўғри?,Акс-садо | Aks-sado,Акс садо | Aks sado,,,https://t.me/oriftolib/1381,"[599, 444]"
Жондор нима?,Ҳайвон,Йиртқич ҳайвон,Ёввойи ҳайвон,Сувда ва қуруқликда яшовчи ҳайвон,https://t.me/oriftolib/1384,"[385, 163, 110, 433]"
Қай бири тўғри?,Ҳиргойи | Hirgoyi,Хиргойи | Xirgoyi,,,https://t.me/oriftolib/1385,"[606, 643]"
Қай бири тўғри?,Лаҳжа чўғ | Lahja choʻgʻ,Лаҳча чўғ | Lahcha choʻgʻ,Лахжа чўғ | Laxja choʻgʻ,Лахча чўғ | Laxcha choʻgʻ,https://t.me/oriftolib/1387,"[259, 308, 164, 254]"
Қай бири тўғри?,Ифор | Ifor,Уфор | Ufor,Упор | Upor,Барчаси тўғри.,https://t.me/oriftolib/1389,"[749, 46, 8, 116]"
Қай бири тўғри?,Хайхотдай ҳовли | Xayxotday hovli,Хайҳотдай ҳовли | Xayhotday hovli,Ҳайхотдай ҳовли | Hayxotday hovli,Ҳайҳотдай ҳовли | Hayhotday hovli,https://t.me/oriftolib/1392,"[70, 188, 232, 348]"
Қай бири тўғри?,Сувости кемаси | Suvosti kemasi,Сув ости кемаси | Suv osti kemasi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1397,"[470, 309, 121]"
Қай бири тўғри?,Шалпонқулоқ | Shalponquloq,Шалпангқулоқ | Shalpangquloq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1399,"[138, 661, 86]"
“Писанда қилди” ибораси маъносига мос бирикма қайси?,Танқид қилди | Tanqid qildi,Ишора қилди | Ishora qildi,Киноя қилди | Kinoya qildi,Луқма ташлади | Luqma tashladi,https://t.me/oriftolib/1402,"[119, 179, 459, 100]"
Қай бири тўғри?,Пишилламоқ | Pishillamoq,Пишшилламоқ | Pishshillamoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1404,"[554, 154, 133]"
Қай бири тўғри?,Хом ашё | Xom ashyo,Хом-ашё | Xom-ashyo,Хомашё | Xomashyo,,https://t.me/oriftolib/1408,"[251, 316, 621]"
“Аммамнинг бузоғи” ибораси қайси маънода ишлатилади?,Қўрқоқ | Qoʻrqoq,Лапашанг | Lapashang,Содда | Sodda,,https://t.me/oriftolib/1410,"[88, 953, 157]"
Қай бири тўғри?,Гумбирламоқ | Gumbirlamoq,Гумбурламоқ | Gumburlamoq,,,https://t.me/oriftolib/1413,"[283, 717]"
Сабот бу – ...,Ирода | Iroda,Меҳнат | Mehnat,Кўп ўқиш | Koʻp oʻqish,,https://t.me/oriftolib/1415,"[732, 179, 211]"
Қай бири тўғри?,Кароват | Karovat,Каравот | Karavot,,,https://t.me/oriftolib/1417,"[460, 596]"
Қай бири тўғри?,Учаласи келди | Uchalasi keldi,Уччаласи келди | Uchchalasi keldi,,,https://t.me/oriftolib/1419,"[869, 223]"
Қай бири тўғри?,Зарбоф тўн | Zarbof toʻn,Зарбоп тўн | Zarbop toʻn,,,https://t.me/oriftolib/1424,"[635, 489]"
Қай бири тўғри?,Қўмсамоқ | Qoʻmsamoq,Қумсамоқ | Qumsamoq,,,https://t.me/oriftolib/1429,"[502, 511]"
Қай бири тўғри?,Зулайхо | Zulayxo,Зулайҳо | Zulayho,,,https://t.me/oriftolib/1435,"[288, 777]"
Қай бири тўғри?,Албатта | Albatta,Албатда | Albatda,,,https://t.me/oriftolib/1440,"[991, 43]"
Қай бири тўғри?,Қоравул | Qoravul,Қоровул | Qorovul,,,https://t.me/oriftolib/1445,"[260, 942]"
Қай бири тўғри?,Эгин-бош | Egin-bosh,Эгни-бош | Egni-bosh,,,https://t.me/oriftolib/1451,"[242, 707]"
Қай бири тўғри?,Чангютгич | Changyutgich,Чангюткич | Changyutkich,,,https://t.me/oriftolib/1458,"[694, 408]"
Қай бири тўғри?,Жавон | Javon,Жовон | Jovon,,,https://t.me/oriftolib/1471,"[780, 225]"
Қай бири тўғри?,Охори тўкилди | Oxori toʻkildi,Оҳори тўкилди | Ohori toʻkildi,,,https://t.me/oriftolib/1480,"[406, 548]"
Қай бири тўғри?,Шама қилди | Shama qildi,Шаъма қилди | Shaʼma qildi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1486,"[388, 540, 192]"
Дилгир бу – ...,Хурсанд | Xursand,Кўнгли ғаш | Koʻngli gʻash,Ҳаракатчан | Harakatchan,,https://t.me/oriftolib/1489,"[274, 614, 172]"
Қай бири тўғри?,Кун ора қатнайди | Kun ora qatnaydi,Кунора қатнайди | Kunora qatnaydi,,,https://t.me/oriftolib/1491,"[358, 695]"
Зумрад қанақа ранг?,Оч яшил,Кўк,Тўқ сариқ,,https://t.me/oriftolib/1493,"[747, 309, 200]"
Қай бири тўғри?,Расамад | Rasamad,Расамат | Rasamat,,,https://t.me/oriftolib/1497,"[636, 455]"
Қай бири тўғри?,Манаман деган бойлар | Manaman degan boylar,Мана-ман деган бойлар | Mana-man degan boylar,Мана ман деган бойлар | Mana man degan boylar,,https://t.me/oriftolib/1499,"[753, 147, 185]"
Қай бири тўғри?,Тяньшан тоғи | Tyanshan togʻi,Тянь-шан тоғи | Tyan-shan togʻi,Тянь-Шан тоғи | Tyan-Shan togʻi,,https://t.me/oriftolib/1501,"[371, 241, 385]"
"""Қўлбола"" нима дегани?",Бола қўли билан қилинган,Қўли узун бола,Қўлда тайёрланган,,https://t.me/oriftolib/1503,"[70, 79, 1039]"
Қай бири тўғри?,Йўғе | Yoʻgʻe,Йўғ-е | Yoʻgʻ-e,Йўқ-е | Yoʻq-e,,https://t.me/oriftolib/1506,"[658, 385, 82]"
Қай бири тўғри?,Шукр | Shukr,Шукур | Shukur,Иккови ҳам тўғри.,,https://t.me/oriftolib/1508,"[471, 495, 507]"
Фараҳбахш бу – ...,Фахрлантирадиган,Қувонтирадиган,"Тоза, мусаффо",,https://t.me/oriftolib/1509,"[162, 423, 521]"
Қай бири тўғри?,Саҳрои Кабир | Sahroyi Kabir,Сахрои Кабир | Saxroyi Kabir,,,https://t.me/oriftolib/1513,"[901, 257]"
Қай бири тўғри?,Она тилисини ўрганиш | Ona tilisini oʻrganish,Она тилини ўрганиш | Ona tilini oʻrganish,Иккови ҳам тўғри.,,https://t.me/oriftolib/1515,"[39, 849, 247]"
Қай бири тўғри?,Уммавийлар сулоласи | Ummaviylar sulolasi,Умавийлар сулоласи | Umaviylar sulolasi,,,https://t.me/oriftolib/1521,"[642, 403]"
Қай бири тўғри?,Ўқтин-ўқтин | Oʻqtin-oʻqtin,Ўхтин-ўхтин | Oʻxtin-oʻxtin,,,https://t.me/oriftolib/1527,"[810, 217]"
Қай бири тўғри?,Мўмиё | Moʻmiyo,Мўъмиё | Moʻmiyo,Мумиё | Mumiyo,,https://t.me/oriftolib/1530,"[466, 133, 629]"
Қай бири тўғри?,Ўнли каср | Oʻnli kasr,Ўнлик каср | Oʻnlik kasr,Иккови ҳам тўғри.,,https://t.me/oriftolib/1535,"[516, 282, 271]"
Қай бири тўғри?,Қопоғон ит | Qopogʻon it,Қопағон ит | Qopagʻon it,,,https://t.me/oriftolib/1538,"[528, 681]"
Хилқат бу – ...,"Гўзал, чиройли",Яратилган нарса ё киши,"Фазилат, яхши хислат",,https://t.me/oriftolib/1541,"[239, 627, 263]"
Қай бири тўғри?,Ғўддаймоқ | Gʻoʻddaymoq,Ғўдаймоқ | Gʻoʻdaymoq,,,https://t.me/oriftolib/1543,"[746, 499]"
Доскага ёзиш воситаси ўзбекчада нима дейилади?,Мел | Mel,Бўр | Boʻr,Иккови ҳам тўғри.,,https://t.me/oriftolib/1546,"[63, 742, 299]"
Қай бири тўғри?,Лиммолим | Limmolim,Лиммо-лим | Limmo-lim,,,https://t.me/oriftolib/1549,"[420, 816]"
Қай бири тўғри?,Ортиқча | Ortiqcha,Ошиқча | Oshiqcha,Иккови ҳам тўғри.,,https://t.me/oriftolib/1550,"[423, 44, 674]"
Қай бири тўғри?,Hindixitoy,Hindi-xitoy,Hindi-Xitoy,,https://t.me/oriftolib/1554,"[401, 231, 535]"
Қай бири тўғри?,Боку шаҳри | Boku shahri,Баку шаҳри | Baku shahri,,,https://t.me/oriftolib/1555,"[692, 461]"
Қай бири тўғри?,Лом-лим демади | Lom-lim demadi,Лом-мим демади | Lom-mim demadi,,,https://t.me/oriftolib/1558,"[527, 657]"
Қай бири тўғри?,Саловот | Salovot,Саловат | Salovat,Салавот | Salavot,,https://t.me/oriftolib/1562,"[246, 566, 312]"
Қай бири тўғри?,Талафот | Talafot,Талофот | Talofot,Талофат | Talofat,,https://t.me/oriftolib/1564,"[363, 270, 656]"
Смартфон бу – ...,Техника | Texnika,Технология | Texnologiya,,,https://t.me/oriftolib/1567,"[646, 450]"
Қай бири тўғри?,Баобрў | Baobroʻ,Бообрў | Boobroʻ,Иккови ҳам тўғри.,,https://t.me/oriftolib/1568,"[359, 319, 330]"
Қай бири тўғри?,Зоғча | Zogʻcha,Зағча | Zagʻcha,Иккови ҳам тўғри.,,https://t.me/oriftolib/1572,"[254, 402, 427]"
Қай бири тўғри?,Эскимоқ | Eskimoq,Эскирмоқ | Eskirmoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1577,"[24, 743, 279]"
Қай бири тўғри?,Совқотмоқ | Sovqotmoq,Совуқ қотмоқ | Sovuq qotmoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1582,"[289, 292, 592]"
Қай бири тўғри?,Чамадон | Chamadon,Жомадон | Jomadon,Иккови ҳам тўғри.,,https://t.me/oriftolib/1585,"[288, 331, 618]"
Қай бири тўғри?,Адл қомат | Adl qomat,Адил қомат | Adil qomat,Иккови ҳам тўғри.,,https://t.me/oriftolib/1589,"[510, 218, 242]"
Қай бири тўғри?,Мажнун тол | Majnun tol,Мажнунтол | Majnuntol,,,https://t.me/oriftolib/1592,"[127, 881]"
Қай бири тўғри?,Айюҳаннос | Ayyuhannos,Аюҳаннос | Ayuhannos,Иккови ҳам тўғри.,,https://t.me/oriftolib/1597,"[507, 473, 261]"
Қай бири тўғри?,Кобейджинг карта | Kobeydjing karta,Кобейжинг карта | Kobeyjing karta,,,https://t.me/oriftolib/1602,"[414, 523]"
Қай бири тўғри?,Жалюзи пардалар | Jalyuzi pardalar,Жалюза пардалар | Jalyuza pardalar,Иккови ҳам тўғри.,,https://t.me/oriftolib/1606,"[603, 127, 166]"
Қай бири тўғри?,Ҳаво ранг осмон | Havo rang osmon,Ҳаворанг осмон | Havorang osmon,Иккови ҳам тўғри.,,https://t.me/oriftolib/1611,"[160, 619, 188]"
Қай бири тўғри?,Омбир | Ombir,Омбур | Ombur,Иккови ҳам тўғри.,,https://t.me/oriftolib/1615,"[274, 371, 235]"
Қай бири тўғри?,Бадастир | Badastir,Бадастур | Badastur,Иккови ҳам тўғри.,,https://t.me/oriftolib/1617,"[303, 445, 315]"
“Юҳо” сўзининг маъноси нима?,"Ҳайҳот, наҳотки | Hayhot, nahotki",Ебтўймас | Yebtoʻymas,Яширин | Yashirin,,https://t.me/oriftolib/1619,"[383, 445, 231]"
Қай бири тўғри?,Бежиз айтилмаган | Bejiz aytilmagan,Бежизга айтилмаган | Bejizga aytilmagan,Иккови ҳам тўғри.,,https://t.me/oriftolib/1621,"[248, 245, 619]"
Қай бири тўғри?,Дархон маҳалласи | Darxon mahallasi,Дарҳон маҳалласи | Darhon mahallasi,,,https://t.me/oriftolib/1627,"[771, 327]"
“Қуюшқон” бу – ...,Қон қуюлиши | Qon quyulishi,Эгар қайиши | Egar qayishi,Совуққонлик | Sovuqqonlik,,https://t.me/oriftolib/1631,"[271, 323, 507]"
Қай бири тўғри?,Қовоғи солиқ | Qovogʻi soliq,Қавоғи солиқ | Qavogʻi soliq,Қовағи солиқ | Qovagʻi soliq,,https://t.me/oriftolib/1633,"[1032, 196, 36]"
Қай бири тўғри?,Гранд-при | Grand-pri,Гран-при | Gran-pri,Гранпри | Granpri,,https://t.me/oriftolib/1638,"[433, 538, 239]"
Қай бири тўғри?,Диапазон | Diapazon,Диапозон | Diapozon,Диопозон | Diopozon,,https://t.me/oriftolib/1642,"[725, 401, 126]"
Оҳанжама бу – ...,Чиройли оҳанг | Chiroyli ohang,Ғаройиб безак | Gʻaroyib bezak,Калондимоғлик | Kalondimogʻlik,,https://t.me/oriftolib/1644,"[503, 443, 191]"
Қай бири тўғри?,Дахмаза | Daxmaza,Даҳмаза | Dahmaza,,,https://t.me/oriftolib/1647,"[403, 650]"
